scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
417352,CHICAGO CITY,CHPH34060_471352_As-Built-Node_NAT_Redline.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104d779f8892d9346eb47a7
434427,CHICAGO,CHPH34197_Elevation_NAT_Reviewed_As_Built.pdf,COMED,"41' 53' 53.88"" (41.898299)","-87 44' 18.82"" (-87.73856)",976 N KILBOURN AVE,XXXX,38.38,,37.33,,,,11.75,,14.7,,,,14.69,,44.92,,6104d4c1f8892d9346eb4788
469311,CHICAGO CITY,CHPH30011_SCU-469311_NAT_Reviewed_Redline-Node.pdf,XXXX,"42' 01' 0.77"" N (42.016881)","87' 40' 25.01"" W (-87.673615)",7440 N. ROGERS AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104cbd8f8892d9346eb4715
469312,CHICAGO CITY,CHPH30012_SCU-469312_NAT_Reviewed_Redline-Node.pdf,XXXX,"42' 00' 58.35"" N (42.016208)","87º 40' 30.22"" W (-87.675061)",7407 N. ROGERS AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104bf9ef8892d9346eb4682
469314,CHICAGO,CH2200BA_81LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,42.014323,-87.672252,7321 N PAULINA ST,XXXX,38.75,,39.04,,,,17.02,,14.85,,,,16.29,,45.0,,6104bac1f8892d9346eb4645
469316,CHICAGO CITY,CH2351BA_81LAB_Elevation_NAT_Reviewed_As_Built.pdf,XXXX,"42' 00' 36.60"" N (42.010166)","87º 40' 12.10"" W (-87.670029)",7035 N. ASHLAND AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104caa6f8892d9346eb4706
469319,CHICAGO,CH1537BA_51LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,42.002106,-87.673812,1731 W WALLEN AVE,XXXX,39.58,,39.92,,,,18.83,,16.65,,9.0,,18.15,,46.08,,6104d32cf8892d9346eb4775
469320,CHICAGO,CH2300BA_11LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,42.017171,-87.678371,1920 W FARGO AVE,XXXX,33.79,,33.54,,,,17.79,,15.56,,11.54,,17.02,,40.5,,6104c6ecf8892d9346eb46dc
469323,CHICAGO CITY,CHPH30057_SCU-469323_NAT_Reviewed_Redline-Node.pdf,XXXX,"42' 01' 09.23"" N (42.019231)","87º 42' 00.23"" W (-87.700065)",2811 HOWARD ST.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104d100f8892d9346eb4759
469329,CHICAGO CITY,CH2281BA_61LAB_Elevation_As_Built.pdf,XXXX,"42' 00' 02.99"" N (42.000830)","87º 41' 23.43"" W (-87.689840)",6540 N. WESTERN AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104ca78f8892d9346eb4704
469330,CHICAGO,CHPH30083_469330_Elevation_NAT_Reviewed_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,32.62,,,,,,13.04,,14.98,,,,14.9,,38.92,,6104b3daf8892d9346eb45e9
469333,CHICAGO CITY,CHPH30095_SCU-469333_Redlines-Node.pdf,XXXX,"42' 00' 55.31"" N (42.015365)","87º 40' 36.54"" W (-87.676816)",7368 N. ROGERS AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104b060f8892d9346eb45bd
469336,CHICAGO,CH1537BA_91LAB_Elevation_NAT_Approved_As_Built.pdf,COMED,41.996909,-87.674196,1762 W HIGHLAND AVE,XXXX,37.83,,38.25,,,,18.96,,16.77,,,,18.23,,44.17,,6104afd3f8892d9346eb45b7
469338,CHICAGO CITY,CHPH30116_469338_Redline-Node.pdf,XXXX,"41' 59' 12.73"" N (41.986870)","87º 39' 54.40"" W (-87.665110)",5806 N. GLENWOOD AVE.,XXXX,34.5,,,,,,,,,,,,29.0,,,,6104bd14f8892d9346eb4660
469343,CHICAGO,CHPH30130_469343_REDLINE-NODE.pdf,COMED,9999,9999,XXXX,XXXX,35.54,,33.54,,,,17.42,,15.23,,,,16.69,,39.67,,6104b5e2f8892d9346eb4608
469344,CHICAGO CITY,CHPH30133_SCU-469344_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 59' 25.39"" N (41.990387)","87 41' 30.99"" W (-87.691942)",2466 W. PETERSON AVE,XXXX,,,,,,,23.5,,,,,,,,29.48,,6104d147f8892d9346eb475c
469345,CHICAGO,CH1412BA_61LAB_Elevation_As_Built.pdf,COMED,41.984768,-87.696958,5686 N WASHTENAW AVE,XXXX,38.42,,31.5,,,,17.67,,14.96,,,,16.94,,45.5,,6104d2c8f8892d9346eb476e
469346,CHICAGO,CH1412BA_71LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,41.984530,-87.693708,2569 W HOLLYWOOD AVE,XXXX,33.71,,33.62,,,,18.0,,15.81,,,,17.27,,40.5,,6104ca04f8892d9346eb46fe
469347,CHICAGO CITY,CHPH30143_SCU-469347_NAT_Revieweid_Redline-Node.pdf,XXXX,"41' 59' 13.66"" N (41.987128)","87 41' 22.82"" W (-87.689673)",5808 N WESTERN AVE.,XXXX,,,,,,,23.5,,,,,,,,29.48,,6104d81ff8892d9346eb47af
